idx irq        fired       rxpkts       txpkts         cpus name
  0 327          213            0            0         0-31 mlx5_async0
  1 328         1616      7570481      3543702           32 mlx5_comp0
  2 539          582      5912242      3613563           33 mlx5_comp1
  3 540          715      7045772      2957084           34 mlx5_comp2
  4 541         1936      6148692      2884741           35 mlx5_comp3
  5 542         1296      7155602      3336091           36 mlx5_comp4
  6 543          735      7230796      2777154           37 mlx5_comp5
  7 544          720      5771754      3584063           38 mlx5_comp6
  8 545         1032      5578008      3505112           39 mlx5_comp7
total           8845     52413347     26201510
