idx irq        fired       rxpkts       txpkts         cpus name
  0 327          128            0            0         0-31 mlx5_async0
  1 328           20      7412825      3868884           32 mlx5_comp0
  2 529           20      7737916      3725471           33 mlx5_comp1
  3 530           19      7736548      3868192           34 mlx5_comp2
  4 531            6      7327912      3626231           35 mlx5_comp3
  5 532           16      7251964      3753481           36 mlx5_comp4
  6 533           84      7504679      3662177           37 mlx5_comp5
  7 534           52      7642258      3822945           38 mlx5_comp6
  8 535           38      7448832      3706143           39 mlx5_comp7
total            383     60062934     30033524
