idx irq        fired       rxpkts       txpkts         cpus name
  0 327          175            0            0         0-31 mlx5_async0
  1 328          680      6020209      2978376           32 mlx5_comp0
  2 539          601      6015726      3030256           33 mlx5_comp1
  3 540          599      5945512      3017392           34 mlx5_comp2
  4 541          391      5991872      2999066           35 mlx5_comp3
  5 542          577      6097820      3008988           36 mlx5_comp4
  6 543          505      5984702      2998385           37 mlx5_comp5
  7 544          592      5925194      2992497           38 mlx5_comp6
  8 545          570      6097945      3006916           39 mlx5_comp7
total           4690     48078980     24031876
