idx irq        fired       rxpkts       txpkts         cpus name
  0 327          183            0            0         0-31 mlx5_async0
  1 328          712      6395152      3007621           32 mlx5_comp0
  2 539          588      5843387      3039760           33 mlx5_comp1
  3 540          606      5881327      2959566           34 mlx5_comp2
  4 541          815      5857218      2923261           35 mlx5_comp3
  5 542          653      6212483      3197359           36 mlx5_comp4
  6 543          720      5814360      2974809           37 mlx5_comp5
  7 544          709      6033078      2938991           38 mlx5_comp6
  8 545          630      5913993      2928240           39 mlx5_comp7
total           5616     47950998     23969607
