idx irq        fired       rxpkts       txpkts         cpus name
  0 327          127            0            0         0-31 mlx5_async0
  1 328            0      4586783      2141440           32 mlx5_comp0
  2 539            0      4286135      2291270           33 mlx5_comp1
  3 540            0      4418639      2175413           34 mlx5_comp2
  4 541            0      4580501      2180225           35 mlx5_comp3
  5 542            0      4927711      2289435           36 mlx5_comp4
  6 543            0      4351826      2206683           37 mlx5_comp5
  7 544            0      4365523      2461738           38 mlx5_comp6
  8 545            0      4565164      2280948           39 mlx5_comp7
total            127     36082282     18027152
