idx irq        fired       rxpkts       txpkts         cpus name
  0 317          388            0            0        32-63 mlx5_async0
  1 318           87      5900122      2909212           16 mlx5_comp0
  2 341           11      6094720      2951777           17 mlx5_comp1
  3 342            6      5944702      2987272           18 mlx5_comp2
  4 343            4      6343748      3051244           19 mlx5_comp3
  5 344          139      5756029      3031714           20 mlx5_comp4
  6 345           19      5823400      3058952           21 mlx5_comp5
  7 346            4      6017259      3014374           22 mlx5_comp6
  8 347            7      6283581      3042501           23 mlx5_comp7
total            665     48163561     24047046
