idx irq        fired       rxpkts       txpkts         cpus name
  0 327          188            0            0         0-31 mlx5_async0
  1 328          778      5937337      3016201           32 mlx5_comp0
  2 539          655      5808658      2898564           33 mlx5_comp1
  3 540          751      6263762      3022818           34 mlx5_comp2
  4 541          911      6112928      3039731           35 mlx5_comp3
  5 542          757      6040956      3064534           36 mlx5_comp4
  6 543          903      6170897      3091114           37 mlx5_comp5
  7 544          825      6137561      2995790           38 mlx5_comp6
  8 545          678      5604940      2902538           39 mlx5_comp7
total           6446     48077039     24031290
