idx irq        fired       rxpkts       txpkts         cpus name
  0 327          128            0            0         0-31 mlx5_async0
  1 328            3      6211350      2965452           32 mlx5_comp0
  2 539            6      5945805      2949444           33 mlx5_comp1
  3 540            6      5934506      3086197           34 mlx5_comp2
  4 541          127      5918971      2961490           35 mlx5_comp3
  5 542            8      6173200      2970886           36 mlx5_comp4
  6 543           17      5888985      3102561           37 mlx5_comp5
  7 544            6      5945011      2965471           38 mlx5_comp6
  8 545           11      6051648      3025255           39 mlx5_comp7
total            312     48069476     24026756
