idx irq        fired       rxpkts       txpkts         cpus name
  0 327         5824            0            0         0-31 mlx5_async0
  1 328       278287      8512596      4443772           32 mlx5_comp0
  2 539       282562      5866697      4236349           33 mlx5_comp1
  3 540       279165      8891725      4252521           34 mlx5_comp2
  4 541       291242      8467288      3698960           35 mlx5_comp3
  5 542       280400      8709365      4324069           36 mlx5_comp4
  6 543       275826      8875741      4353391           37 mlx5_comp5
  7 544       275921      8651871      4438098           38 mlx5_comp6
  8 545       303124      7399874      2931376           39 mlx5_comp7
total        2272351     65375157     32678536
