idx irq        fired       rxpkts       txpkts         cpus name
  0 327          178            0            0         0-31 mlx5_async0
  1 328          706      7216614      3717817           32 mlx5_comp0
  2 539          660      7449438      3247276           33 mlx5_comp1
  3 540          704      7726290      2966022           34 mlx5_comp2
  4 541          384      7151492      3645428           35 mlx5_comp3
  5 542          655      6464262      3755586           36 mlx5_comp4
  6 543          580      7586367      3860268           37 mlx5_comp5
  7 544          639      7434694      3538960           38 mlx5_comp6
  8 545          610      5936727      3735995           39 mlx5_comp7
total           5116     56965884     28467352
