idx irq        fired       rxpkts       txpkts         cpus name
  0 327          137            0            0         0-31 mlx5_async0
  1 328           13      7443665      3508952           32 mlx5_comp0
  2 539           29      7194178      3653888           33 mlx5_comp1
  3 540           31      7107373      3550246           34 mlx5_comp2
  4 541            6      7306445      3515639           35 mlx5_comp3
  5 542           29      7027039      3569248           36 mlx5_comp4
  6 543           10      7029727      3675811           37 mlx5_comp5
  7 544           13      7131737      3602788           38 mlx5_comp6
  8 545           35      7042083      3562475           39 mlx5_comp7
total            303     57282247     28639047
