idx irq        fired       rxpkts       txpkts         cpus name
  0 327          127            0            0         0-31 mlx5_async0
  1 328            0      1398351       761266           32 mlx5_comp0
  2 539            0      1509886       728177           33 mlx5_comp1
  3 540            0      1517915       754192           34 mlx5_comp2
  4 541            0      1564784       693837           35 mlx5_comp3
  5 542            0      1481452       783177           36 mlx5_comp4
  6 543            0      1460202       818299           37 mlx5_comp5
  7 544            0      1529752       751895           38 mlx5_comp6
  8 545            0      1642422       737401           39 mlx5_comp7
total            127     12104764      6028244
