idx irq        fired       rxpkts       txpkts         cpus name
  0 327        50557            0            0         0-31 mlx5_async0
  1 328       552236      1577177       736351           32 mlx5_comp0
  2 539       583570      1579361       765280           33 mlx5_comp1
  3 540       578290      1480245       762247           34 mlx5_comp2
  4 541       598083      1413609       745422           35 mlx5_comp3
  5 542       588112      1503875       759718           36 mlx5_comp4
  6 543       583733      1500251       760519           37 mlx5_comp5
  7 544       567957      1526337       731706           38 mlx5_comp6
  8 545       580507      1521434       765828           39 mlx5_comp7
total        4683045     12102289      6027071
