idx irq        fired       rxpkts       txpkts         cpus name
  0 317        17456            0            0        32-63 mlx5_async0
  1 318       321493      6905684      3568229           16 mlx5_comp0
  2 341       320413      7105756      3703082           17 mlx5_comp1
  3 342       323068      7022401      3460931           18 mlx5_comp2
  4 343       318541      7195717      3496061           19 mlx5_comp3
  5 344       315059      7465396      3937233           20 mlx5_comp4
  6 345       325651      7233451      3471231           21 mlx5_comp5
  7 346       324413      7123441      3416115           22 mlx5_comp6
  8 347       332738      6858913      3384900           23 mlx5_comp7
total        2598832     56910759     28437782
