idx irq        fired       rxpkts       txpkts         cpus name
  0 327          145            0            0         0-31 mlx5_async0
  1 328            0      1429587       709234           32 mlx5_comp0
  2 539            0      1573573       782489           33 mlx5_comp1
  3 540            0      1544574       720472           34 mlx5_comp2
  4 541            0      1548123       783388           35 mlx5_comp3
  5 542            0      1571625       767654           36 mlx5_comp4
  6 543            0      1444400       775273           37 mlx5_comp5
  7 544            0      1499318       744711           38 mlx5_comp6
  8 545            0      1494722       745859           39 mlx5_comp7
total            145     12105922      6029080
