idx irq        fired       rxpkts       txpkts         cpus name
  0 327          131            0            0         0-31 mlx5_async0
  1 328           38      3034339      1549452           32 mlx5_comp0
  2 539           18      3031585      1538953           33 mlx5_comp1
  3 540           23      3002165      1548443           34 mlx5_comp2
  4 541           11      2961088      1552418           35 mlx5_comp3
  5 542            9      3204040      1445403           36 mlx5_comp4
  6 543           13      2754469      1458497           37 mlx5_comp5
  7 544            5      3167002      1460766           38 mlx5_comp6
  8 545           72      2926312      1472077           39 mlx5_comp7
total            320     24081000     12026009
