idx irq        fired       rxpkts       txpkts         cpus name
  0 327          158            0            0         0-31 mlx5_async0
  1 328          301      4516284      2230507           32 mlx5_comp0
  2 539          326      4311062      2218099           33 mlx5_comp1
  3 540          330      4428359      2231659           34 mlx5_comp2
  4 541          302      4620202      2277025           35 mlx5_comp3
  5 542          356      4768260      2299603           36 mlx5_comp4
  6 543          331      4646270      2294013           37 mlx5_comp5
  7 544          330      4278094      2222119           38 mlx5_comp6
  8 545          363      4506517      2253302           39 mlx5_comp7
total           2797     36075048     18026327
