idx irq        fired       rxpkts       txpkts         cpus name
  0 327          130            0            0         0-31 mlx5_async0
  1 328            2      4274342      2350390           32 mlx5_comp0
  2 539           14      4489970      2194033           33 mlx5_comp1
  3 540           13      4370779      2171104           34 mlx5_comp2
  4 541          116      4818903      2243563           35 mlx5_comp3
  5 542           16      4630202      2219900           36 mlx5_comp4
  6 543           28      4680979      2176976           37 mlx5_comp5
  7 544           12      4352383      2352395           38 mlx5_comp6
  8 545           20      4453780      2314455           39 mlx5_comp7
total            351     36071338     18022816
