idx irq        fired       rxpkts       txpkts         cpus name
  0 327          128            0            0         0-31 mlx5_async0
  1 328           28      5866290      2978474           32 mlx5_comp0
  2 539           24      6269750      2995513           33 mlx5_comp1
  3 540           10      5991131      2993383           34 mlx5_comp2
  4 541           15      6123978      3013341           35 mlx5_comp3
  5 542            8      5932350      3010716           36 mlx5_comp4
  6 543           18      6070834      3021271           37 mlx5_comp5
  7 544            1      5751234      3004873           38 mlx5_comp6
  8 545           65      6068464      3012739           39 mlx5_comp7
total            297     48074031     24030310
