idx irq        fired       rxpkts       txpkts         cpus name
  0 327        10843            0            0         0-31 mlx5_async0
  1 328       276936      7167117      3731124           32 mlx5_comp0
  2 539       272518      6826037      3679828           33 mlx5_comp1
  3 540       291098      7016972      3688101           34 mlx5_comp2
  4 541       310219      7326282      3436176           35 mlx5_comp3
  5 542       284692      7418284      3432862           36 mlx5_comp4
  6 543       280703      7389720      3665530           37 mlx5_comp5
  7 544       299897      7049080      3551343           38 mlx5_comp6
  8 545       301265      7633109      3719853           39 mlx5_comp7
total        2328171     57826601     28904817
