idx irq        fired       rxpkts       txpkts         cpus name
  0 327          127            0            0         0-31 mlx5_async0
  1 328            0      5810680      2880771           32 mlx5_comp0
  2 539            0      6621040      2871110           33 mlx5_comp1
  3 540            0      6227426      3113503           34 mlx5_comp2
  4 541            0      5686277      3065891           35 mlx5_comp3
  5 542            0      6086993      2893632           36 mlx5_comp4
  6 543            0      6134409      2962968           37 mlx5_comp5
  7 544            0      5745539      3314355           38 mlx5_comp6
  8 545            0      5758772      2929906           39 mlx5_comp7
total            127     48071136     24032136
