idx irq        fired       rxpkts       txpkts         cpus name
  0 327         9268            0            0         0-31 mlx5_async0
  1 328       268453      8878756      4433240           32 mlx5_comp0
  2 539       258145      8774101      4384543           33 mlx5_comp1
  3 540       292584      6709992      3156548           34 mlx5_comp2
  4 541       303114      7221604      3008723           35 mlx5_comp3
  5 542       259216      8820834      4408276           36 mlx5_comp4
  6 543       275452      8866021      4072645           37 mlx5_comp5
  7 544       297608      6319391      3350074           38 mlx5_comp6
  8 545       282353      6020878      3972704           39 mlx5_comp7
total        2246193     61611577     30786753
