idx irq        fired       rxpkts       txpkts         cpus name
  0 327          127            0            0         0-31 mlx5_async0
  1 328            0      4611248      2299217           32 mlx5_comp0
  2 539            0      4745899      2251865           33 mlx5_comp1
  3 540            0      4507293      2150421           34 mlx5_comp2
  4 541            0      4558774      2281051           35 mlx5_comp3
  5 542            0      4307198      2369889           36 mlx5_comp4
  6 543            0      4375943      2249375           37 mlx5_comp5
  7 544            0      4511894      2186333           38 mlx5_comp6
  8 545            0      4514036      2254216           39 mlx5_comp7
total            127     36132285     18042367
