idx irq        fired       rxpkts       txpkts         cpus name
  0 327          128            0            0         0-31 mlx5_async0
  1 328            0      7790424      3812464           32 mlx5_comp0
  2 539            8      7739585      3687650           33 mlx5_comp1
  3 540            5      7378029      3868970           34 mlx5_comp2
  4 541           90      7531707      3809477           35 mlx5_comp3
  5 542            9      7628248      3633946           36 mlx5_comp4
  6 543           53      7619893      3893148           37 mlx5_comp5
  7 544            5      7117959      3557753           38 mlx5_comp6
  8 545           28      7265000      3768123           39 mlx5_comp7
total            326     60070845     30031531
