idx irq        fired       rxpkts       txpkts         cpus name
  0 327          128            0            0         0-31 mlx5_async0
  1 328           21      6135878      2977461           32 mlx5_comp0
  2 529            4      6026661      3066593           33 mlx5_comp1
  3 530           13      5957184      3011669           34 mlx5_comp2
  4 531            5      6181157      2858193           35 mlx5_comp3
  5 532           26      5784845      3116629           36 mlx5_comp4
  6 533           67      6231322      3009587           37 mlx5_comp5
  7 534           16      6021511      2891866           38 mlx5_comp6
  8 535           24      5717252      3086820           39 mlx5_comp7
total            304     48055810     24018818
