idx irq        fired       rxpkts       txpkts         cpus name
  0 327          165            0            0         0-31 mlx5_async0
  1 328          614      6094948      2966881           32 mlx5_comp0
  2 539          576      6179550      3012424           33 mlx5_comp1
  3 540          630      5783486      3011165           34 mlx5_comp2
  4 541          362      6089723      3018659           35 mlx5_comp3
  5 542          589      6097886      3027758           36 mlx5_comp4
  6 543          485      5857391      3007710           37 mlx5_comp5
  7 544          570      6141026      2985846           38 mlx5_comp6
  8 545          511      5819882      2996232           39 mlx5_comp7
total           4502     48063892     24026675
