idx irq        fired       rxpkts       txpkts         cpus name
  0 327          152            0            0         0-31 mlx5_async0
  1 328          281      7641991      3914264           32 mlx5_comp0
  2 539          309      6899476      3816018           33 mlx5_comp1
  3 540          300      9034483      4285999           34 mlx5_comp2
  4 541          309      8566498      4514461           35 mlx5_comp3
  5 542          321      7832460      3355276           36 mlx5_comp4
  6 543          356      8777133      4388650           37 mlx5_comp5
  7 544          293     10114045      3447764           38 mlx5_comp6
  8 545          320      6712787      5055128           39 mlx5_comp7
total           2641     65578873     32777560
