idx irq        fired       rxpkts       txpkts         cpus name
  0 327          127            0            0         0-31 mlx5_async0
  1 328            0      3191991      1483177           32 mlx5_comp0
  2 539            0      2952651      1472902           33 mlx5_comp1
  3 540            0      2918790      1510377           34 mlx5_comp2
  4 541            0      3023230      1512747           35 mlx5_comp3
  5 542            0      3025439      1502298           36 mlx5_comp4
  6 543            0      2968941      1455752           37 mlx5_comp5
  7 544            0      3011534      1500380           38 mlx5_comp6
  8 545            0      3005458      1591008           39 mlx5_comp7
total            127     24098034     12028641
