idx irq        fired       rxpkts       txpkts         cpus name
  0 317          421            0            0        32-63 mlx5_async0
  1 318          114      1538687       756676           16 mlx5_comp0
  2 341           26      1543029       751507           17 mlx5_comp1
  3 342            3      1514810       758385           18 mlx5_comp2
  4 343            0      1486035       744454           19 mlx5_comp3
  5 344          152      1562775       761279           20 mlx5_comp4
  6 345           15      1475388       747105           21 mlx5_comp5
  7 346            4      1407350       745527           22 mlx5_comp6
  8 347           17      1616587       759980           23 mlx5_comp7
total            752     12144661      6024913
