idx irq        fired       rxpkts       txpkts         cpus name
  0 317          439            0            0        32-63 mlx5_async0
  1 318          568      1502760       746790           16 mlx5_comp0
  2 341          494      1553211       751833           17 mlx5_comp1
  3 342          398      1546414       747330           18 mlx5_comp2
  4 343          348      1510139       753718           19 mlx5_comp3
  5 344          572      1430978       748658           20 mlx5_comp4
  6 345          490      1478764       753758           21 mlx5_comp5
  7 346          437      1524915       764295           22 mlx5_comp6
  8 347          475      1584040       757460           23 mlx5_comp7
total           4221     12131221      6023842
