idx irq        fired       rxpkts       txpkts         cpus name
  0 327        50102            0            0         0-31 mlx5_async0
  1 328       556501      1591575       763974           32 mlx5_comp0
  2 529       594255      1446453       771535           33 mlx5_comp1
  3 530       562645      1529166       743606           34 mlx5_comp2
  4 531       572234      1525469       755135           35 mlx5_comp3
  5 532       548608      1614953       742131           36 mlx5_comp4
  6 533       588806      1464338       758569           37 mlx5_comp5
  7 534       567596      1461067       747854           38 mlx5_comp6
  8 535       589789      1456637       741484           39 mlx5_comp7
total        4630536     12089658      6024288
