idx irq        fired       rxpkts       txpkts         cpus name
  0 327        50239            0            0         0-31 mlx5_async0
  1 328       598401      1423797       753482           32 mlx5_comp0
  2 539       590579      1511540       741940           33 mlx5_comp1
  3 540       598808      1445456       739433           34 mlx5_comp2
  4 541       543892      1593044       743132           35 mlx5_comp3
  5 542       614140      1403470       754658           36 mlx5_comp4
  6 543       544169      1595931       753396           37 mlx5_comp5
  7 544       568398      1543433       768584           38 mlx5_comp6
  8 545       560766      1558109       766218           39 mlx5_comp7
total        4669392     12074780      6020843
