idx irq        fired       rxpkts       txpkts         cpus name
  0 327          149            0            0         0-31 mlx5_async0
  1 328            7      1601502       761398           32 mlx5_comp0
  2 539            3      1476584       769382           33 mlx5_comp1
  3 540           11      1579510       769998           34 mlx5_comp2
  4 541          111      1351407       775150           35 mlx5_comp3
  5 542            9      1486573       698379           36 mlx5_comp4
  6 543           32      1560786       765161           37 mlx5_comp5
  7 544           16      1493418       719448           38 mlx5_comp6
  8 545           23      1547059       764132           39 mlx5_comp7
total            361     12096839      6023048
