idx irq        fired       rxpkts       txpkts         cpus name
  0 327          181            0            0         0-31 mlx5_async0
  1 328          516      4420337      2239230           32 mlx5_comp0
  2 539          592      4696631      2274172           33 mlx5_comp1
  3 540          575      4399473      2246403           34 mlx5_comp2
  4 541          591      4460665      2246736           35 mlx5_comp3
  5 542          650      4439139      2255110           36 mlx5_comp4
  6 543          585      4407973      2242628           37 mlx5_comp5
  7 544          597      4635042      2252026           38 mlx5_comp6
  8 545          467      4603018      2263810           39 mlx5_comp7
total           4754     36062278     18020115
