idx irq        fired       rxpkts       txpkts         cpus name
  0 327          127            0            0         0-31 mlx5_async0
  1 328            0      5982569      2933207           32 mlx5_comp0
  2 539            0      6124940      2983980           33 mlx5_comp1
  3 540            0      6510545      3061560           34 mlx5_comp2
  4 541           93      6040837      3251931           35 mlx5_comp3
  5 542            0      5682055      2964291           36 mlx5_comp4
  6 543            7      5944007      2836962           37 mlx5_comp5
  7 544            0      5961718      3022698           38 mlx5_comp6
  8 545            1      5872091      2975841           39 mlx5_comp7
total            228     48118762     24030470
