idx irq        fired       rxpkts       txpkts         cpus name
  0 327        25670            0            0         0-31 mlx5_async0
  1 328       368031      4535715      2249864           32 mlx5_comp0
  2 539       359911      5054283      2235468           33 mlx5_comp1
  3 540       370748      4221637      2254976           34 mlx5_comp2
  4 541       374951      4474867      2257759           35 mlx5_comp3
  5 542       373414      4397005      2253714           36 mlx5_comp4
  6 543       361212      4766657      2245991           37 mlx5_comp5
  7 544       361082      4523443      2266072           38 mlx5_comp6
  8 545       362980      4089242      2261653           39 mlx5_comp7
total        2957999     36062849     18025497
