idx irq        fired       rxpkts       txpkts         cpus name
  0 327          129            0            0         0-31 mlx5_async0
  1 328           13      1486977       739163           32 mlx5_comp0
  2 539           27      1443183       756327           33 mlx5_comp1
  3 540           27      1474833       748576           34 mlx5_comp2
  4 541            7      1546477       753148           35 mlx5_comp3
  5 542           12      1580266       743873           36 mlx5_comp4
  6 543            8      1544030       772714           37 mlx5_comp5
  7 544           12      1461122       750753           38 mlx5_comp6
  8 545           19      1552567       761669           39 mlx5_comp7
total            254     12089455      6026223
