idx irq        fired       rxpkts       txpkts         cpus name
  0 327        15921            0            0         0-31 mlx5_async0
  1 328       311729      5945627      2964096           32 mlx5_comp0
  2 539       307916      6195057      2999209           33 mlx5_comp1
  3 540       303685      6242768      3007232           34 mlx5_comp2
  4 541       307488      5709653      3047782           35 mlx5_comp3
  5 542       315308      6256701      2984984           36 mlx5_comp4
  6 543       308454      5683964      2992658           37 mlx5_comp5
  7 544       299882      5913004      3039386           38 mlx5_comp6
  8 545       306224      6115744      2989043           39 mlx5_comp7
total        2476607     48062518     24024390
