idx irq        fired       rxpkts       txpkts         cpus name
  0 327          201            0            0         0-31 mlx5_async0
  1 328          913      2904384      1477148           32 mlx5_comp0
  2 539          795      2927613      1476384           33 mlx5_comp1
  3 540          764      3103613      1509046           34 mlx5_comp2
  4 541          418      2940238      1492120           35 mlx5_comp3
  5 542          765      2983943      1509251           36 mlx5_comp4
  6 543          629      3069475      1515414           37 mlx5_comp5
  7 544          762      3088209      1521366           38 mlx5_comp6
  8 545          737      3073298      1521867           39 mlx5_comp7
total           5984     24090773     12022596
