idx irq        fired       rxpkts       txpkts         cpus name
  0 327          127            0            0         0-31 mlx5_async0
  1 328            0      7559854      3764602           32 mlx5_comp0
  2 539            0      7774048      3621626           33 mlx5_comp1
  3 540            0      7425397      3888105           34 mlx5_comp2
  4 541            0      7675673      3573802           35 mlx5_comp3
  5 542            0      7529379      3779480           36 mlx5_comp4
  6 543            0      7246636      3835974           37 mlx5_comp5
  7 544            0      7148819      3859527           38 mlx5_comp6
  8 545            0      7717766      3712440           39 mlx5_comp7
total            127     60077572     30035556
